name,proline count,arginine count,lysine count,r/k ratio,aliphatic percent sum,aromaticity,flexibility sum,flexibility_avg,gravy
GCF_000007925#WP_225866420.1|RR|OmpR,20,22,4,5.5,0.36651583710407243,0.027149321266968326,211.0583928571429,0.9955584568733156,0.04117647058823531
GCF_000007925#WP_164923246.1|RR|NarL,8,7,16,0.4375,0.38341968911917096,0.056994818652849735,184.11679761904762,1.000634769668737,0.0367875647668395
GCF_000007925#WP_052039745.1|RR|OmpR,20,24,10,2.4,0.366412213740458,0.05343511450381679,253.1305119047619,1.0005158573310746,-0.03206106870229013
GCF_000007925#WP_011125693.1|HK|Classic,31,26,17,1.5294117647058822,0.3932135728542914,0.07385229540918165,488.6182976190473,0.9931266211769254,0.26686626746507036
GCF_000007925#WP_011125273.1|HK|Classic,21,27,21,1.2857142857142858,0.3228346456692913,0.05249343832020997,373.62322619047654,1.0043635112647218,-0.3538057742782156
GCF_000007925#WP_011125573.1|HK|Classic,38,44,36,1.2222222222222223,0.336231884057971,0.06231884057971014,681.7888214285717,1.0011583280889453,-0.16362318840579743
GCF_000007925#WP_011124456.1|HK|Classic,20,21,20,1.05,0.3252688172043011,0.07258064516129031,364.6001428571427,1.0044081070444704,-0.2102150537634412
GCF_000007925#WP_011124349.1|RR|NarL,13,17,13,1.3076923076923077,0.3099173553719008,0.05371900826446281,234.17989285714285,1.0050639178418148,-0.3933884297520662
GCF_000007925#WP_011124311.1|RR|OmpR,16,23,9,2.5555555555555554,0.340080971659919,0.05263157894736842,237.81154761904776,0.99920818327331,-0.16275303643724706
GCF_000007925#WP_011124305.1|RR|OmpR,17,18,16,1.125,0.30980392156862746,0.06274509803921569,245.6336666666667,0.9985108401084012,-0.276078431372549
GCF_000009705#WP_010993911.1|HK|Classic,26,29,15,1.9333333333333333,0.3476394849785408,0.08583690987124463,453.0024642857143,0.9912526570803377,0.007939914163090195
GCF_000009705#WP_010993912.1|RR|OmpR,14,15,11,1.3636363636363635,0.30303030303030304,0.07792207792207792,221.88584523809513,0.9994857893607889,-0.35324675324675353
GCF_000009705#WP_010993933.1|HK|Classic,28,26,11,2.3636363636363638,0.37124463519313305,0.06866952789699571,453.5541428571427,0.9924598311972489,0.06223175965665236
GCF_000009705#WP_010993934.1|RR|OmpR,18,16,13,1.2307692307692308,0.33877551020408164,0.07755102040816327,235.45809523809518,0.9977037933817593,-0.1130612244897959
GCF_000009705#WP_010993980.1|RR|NarL,15,12,20,0.6,0.3282442748091603,0.04580152671755725,254.2709166666665,1.005023386034255,-0.2740458015267176
GCF_000009705#WP_010994160.1|RR|NarL,9,10,15,0.6666666666666666,0.3452914798206278,0.08968609865470852,213.77873809523817,0.9989660658655989,-0.041704035874439466
GCF_000009705#WP_010994249.1|RR|OmpR,11,19,6,3.1666666666666665,0.35714285714285715,0.07142857142857142,214.23182142857146,0.9964270764119603,-0.22321428571428575
GCF_000009705#WP_010994294.1|HK|Classic,15,12,14,0.8571428571428571,0.34426229508196726,0.05245901639344262,296.1170595238094,1.000395471364221,-0.12688524590163947
GCF_000009705#WP_010994306.1|RR|OmpR,14,19,7,2.7142857142857144,0.3319838056680162,0.06072874493927125,237.5329166666667,0.9980374649859945,-0.21578947368421048
GCF_000009705#WP_010994359.1|HK|Hybrid,40,38,27,1.4074074074074074,0.34825174825174826,0.0951048951048951,702.6922857142866,0.9953148522865249,-0.06195804195804243
GCF_000009705#WP_010994441.1|RR|CheY,5,5,9,0.5555555555555556,0.32450331125827814,0.07947019867549669,141.63604761904762,0.9974369550637157,-0.09602649006622518
GCF_000009705#WP_010994499.1|HK|Classic,76,55,108,0.5092592592592593,0.3346238938053097,0.084070796460177,1795.586535714282,0.9981025768283946,-0.12068584070796458
GCF_000009705#WP_010994506.1|HK|Classic,36,44,24,1.8333333333333333,0.33432835820895523,0.07014925373134329,659.8384166666667,0.998242687846697,-0.19656716417910505
GCF_000009705#WP_010994530.1|HK|Classic,92,52,96,0.5416666666666666,0.3325942350332594,0.085920177383592,1790.9477976190506,0.9977425056373541,-0.11890243902438999
GCF_000009705#WP_010994532.1|RR|unclassified,13,11,18,0.6111111111111112,0.34615384615384615,0.05944055944055944,276.88472619047604,0.9995838490630904,-0.1506993006993007
GCF_000009705#WP_010994604.1|HK|Classic,26,31,38,0.8157894736842105,0.2967032967032967,0.0989010989010989,627.7673690476196,0.9996295685471649,-0.25557299843014075
GCF_000009705#WP_010994605.1|RR|YesN,15,15,17,0.8823529411764706,0.3188405797101449,0.06884057971014493,266.49307142857145,0.9981013911182451,-0.2221014492753623
GCF_000009705#WP_010994618.1|RR|CheY,9,5,9,0.5555555555555556,0.3582089552238806,0.03731343283582089,124.99988095238096,0.9999990476190477,-0.013432835820895548
GCF_000009705#WP_010994697.1|RR|unclassified,14,17,25,0.68,0.287598944591029,0.08970976253298153,370.0075238095244,1.0000203346203362,-0.25435356200527737
GCF_000009705#WP_010994718.1|HK|Classic,34,33,24,1.375,0.3455497382198953,0.06282722513089005,563.5218095238104,0.9991521445457631,-0.1057591623036653
GCF_000009705#WP_010994722.1|HK|Classic,22,15,24,0.625,0.30936819172113295,0.06535947712418301,449.7229285714285,0.9993842857142855,-0.19586056644880231
GCF_000009705#WP_010994884.1|HK|Classic,102,58,93,0.6236559139784946,0.3452115812917595,0.08296213808463251,1782.5484642857175,0.997508933567833,-0.033240534521158195
GCF_000009705#WP_010994885.1|HK|Classic,88,53,91,0.5824175824175825,0.3496386881600889,0.08337965536409117,1783.4723690476196,0.9963532787975529,-0.016453585325180826
GCF_000009705#WP_010994904.1|HK|Hybrid,87,77,84,0.9166666666666666,0.331306990881459,0.07051671732522796,1634.8212857142837,0.9992795144952834,-0.19647416413373672
GCF_000009705#WP_010994948.1|RR|CheY,6,5,8,0.625,0.4140625,0.0546875,118.37491666666673,0.9947471988795524,0.13046875000000002
